Response.No.;Age;Region;Along.the.coast;Deep.sea;In.the.reef.area;Other;q19boatsize;q20gearBasket;q20gearhandline;q20gearVerticalline;q20gearLargeNet;q20gearGillnet;q20gearOthers;q21engine1;q32Fisnearfad;q60rainy1n0;q63m3s2l1;q64summ1l0;q65winm1l0;q66m3s2l1;q13edu;q14house;q15source;q16age;q17ageregis;q170t.registered;q18fishinboat;;q19exatsize;q19other;q19othersize;;;;;;;;q21engine2;q21other;q22boat;q22boatrange;q22engine;q22enginerange;q22equip;q22equiprange;q22line;q22linerange;q22other;q22tot;q22totrange;q22tot.c;q23homeport;q24homecellA;q25freqloca;q26month;q26times;q27monthmore;q27monthmorerange;Q28wcell1;Q28wcell2;Q28wcell3;Q28wcell4;Q28wcell5;Q28wcell6;Q28wcell7;Q28wcell8;q29Scell1;q29Scell2;q29Scell3;q29Scell4;q29Scell5;q29Scell6;q29Scell7;q29Scell8;q30FADgood;q31FADtrain;;q32why;q33change;q34goodapp;q35;q36fadhelp;q37expl;q38Y1cell;q39Y2cell;q40FADtotal.kg;q41F1name;q41code;q41F1min;q41F1max;q41F2name;q41F2code;q41F2min;q41F2max;q41F3name;q41F3code;q41F3min;q41F3max;q42fadtimes;q43sumname1;q43sumcode1;q43summin1;q43fssummax1;q43sumname2;q43sumcode2;q43summin2;q43fssummax2;q43sumname3;q43sumcode3;q43summin3;q43fssummax3;q43winname1;q43winname1.1;q43winmin1;q43fswinmax1;q43winname2;q43winname2.1;q43winmin2;q43fswinmax2;q43winname3;q43winname3.1;q43winmin3;q43fswinmax3;q44fadmore;q44Dynamic;q45FADmorecell;q46name1;q46name1code;q46name2;q46name2code;q46name3;q46name3code;q46name4;q46name3code.1;q47seamore;q48s0w1;q49less;q50;q51sealess;q52s0w1;q53twofads;q54name1;q54name1code;q54name2;q54name2code;q54name3;q54name3code;q54name4;q54name3code.1;q55temy1n0;q56desc;q57temtime;q57temtimerange;q58fsbehsum;q59fsbewin;q60rainy1n0;q60rainS2DK3;q611when;q611when..range;q62rainb0a4;q62rainb0a4both2DK3;q63m3s2l1;q64summ1l0;q64summ1l0S2DK3;q65winm1l0;q65winm1l0S2DK3;q66m3s2l1;q67n0y1;q67name1;q67name1code;q67name2;q67name2code;q67name3;q67name3code;q67name4;q67name4code;q67name5;q67name5code;q68M3L1s2;q69accnum;q70y1n0;q71usey1n0;q72example;q73Xcell;id;q73X2cell;q74measure;DistanceFADS;q75weather;q75weathernight;q76fami;q77n1q2h3nf4fm5m6mt7;q78fishingtrip;q79selec;q80totalcatch.kg;q81numfisher;q82fsname1;q82fsname1code;q82fsweight1;q82fslen1;q82fsname2;q82fsname2code;q82fsweight2;q82fslen2;q82fsname3;q82fsname3code;q82fsweight3;q82fslen3;q82fsname4;q82fsname4code;q82fsweight4;q82fslen4;q82fsname5;q82fsname5code;q82fsweight5;q82fslen5;q82fsname6;q82fsname6code;q82fsweight6;q82fslen6;q82fsname7;q82fsname7code;q82fsweight7;q82fslen7;q82fsname8;q82fsname8code;q82fsweight8;q82fslen8;q82fsname9;q82fsname9code;q82fsweight9;q82fslen9;q82fsname10;q82fsname10code;q82fsweight10;q82fslen10;q82fsname11;q82fsname11code;q82fsweight11;q82fslen11;q82fsname12;q82fsname12code;q82fsweight12;q82fslen12;q82fsname13;q82fsname13code;q82fsweight13;q82fslen13;q82fsname14;q82fsname14code;q82fsweight14;q82fslen14;q82fsname15;q82fsname15code;q82fsweight15;q82fslen15;q82fsname16;q82fsname16code;q82fsweight16;q82fslen16;q82fsname17;q82fsname17code;q82fsweight17;q82fslen17;q82fsname18;q82fsname18code;q82fsweight18;q82fslen18;q82fsname19;q82fsname19code;q82fsweight19;q82fslen19;q82fsname20;q82fsname20code;q82fsweight20;q82fslen20;q82fsname21;q82fsname21code;q82fsweight21;q82fslen21;q82fsname22;q82fsname22code;q82fsweight22;q82fslen22;q82fsname23;q82fsname23code;q82fsweight23;q82fslen23;q82fsname24;q82fsname24code;q82fsweight24;q82fslen24;q82fsname25;q82fsname25code;q82fsweight25;q82fslen25;q82fsname26;q82fsname26code;q82fsweight26;q82fslen26;q82fsname27;q82fsname27code;q82fsweight27;q82fslen27;q82fsname28;q82fsname28code;q82fsweight28;q82fslen28;q82fsname29;q82fsname29code;q82fsweight29;q82fslen29;q82fsname30;q82fsname30code;q82fsweight30;q82fslen30;q82fsname31;q82fsname31code;q82fsweight31;q82fslen31;q82fsname32;q82fsname32code;q82fsweight32;q82fslen32;q82fsname33;q82fsname33code;q82fsweight33;q82fslen33;q82fsname34;q82fsname34code;q82fsweight34;q82fslen34;q82fsname35;q82fsname35code;q82fsweight35;q82fslen35;q82fsname36;q82fsname36code;q82fsweight36;q82fslen36;q82fsname37;q82fsname37code;q82fsweight37;q82fslen37;q82fsname38;q82fsname38code;q82fsweight38;q82fslen38;q82fsname39;q82fsname39code;q82fsweight39;q82fslen39;q82fsname40;q82fsname40code;q82fsweight40;q82fslen40;q82fsname41;q82fsname41code;q82fsweight41;q82fslen41;q82fsname42;q82fsname42code;q82fsweight42;q82fslen42;q82fsname43;q82fsname43code;q82fsweight43;q82fslen43;q82fsname44;q82fsname44code;q82fsweight44;q82fslen44;q82fsname45;q82fsname45code;q82fsweight45;q82fslen45;q82fsname46;q82fsname46code;q82fsweight46;q82fslen46;q82fsname47;q82fsname47code;q82fsweight47;q82fslen47;q82fsname48;q82fsname48code;q82fsweight48;q82fslen48;q82fsname49;q82fsname49code;q82fsweight49;q82fslen49;q82fsname50;q82fsname50code;q82fsweight50;q82fslen50;q82fsname51;q82fsname51code;q82fsweight51;q82fslen51;q82totaweight;q83fuelD0E1;q84fuelcost;costper.km;q84days;q86fishers;q87numbask;q88height;q88width;q88length;q90lengthwillingness;Questionlouche
1;69;East;1;1;1;0;Wooden Pirogue < 8 m;0;1;1;1;0;0;Outboard motor  power 9-25;1;1;1;0;1;2;4;1;1;16;40;;1;;22;;;;;;;;;;0;;100000;40000- 50000;20000;;;;5600;;;125600;65600- 75600;75-165k;Trou d'eau Douce;14140;3;October;12;November;;14276;14277;14278;;;;;;15077;14268;14815;14215;;;;;1;0;;;1;1;small fish attracted to FADs, Small fish attracts bigger fish;1;small fish attracted to FADs, Bigger fish to smaller fish;15077;15077;40;Dorade;43;6;12;Beking;9;6.5;12.5;;;;;3;Dorade;43;6;12;Beking;9;6.5;12.5;;;;;Don't go in winter;;;;;;;;;;;;0;D;;;;;;;;;;;;;;;;0;;;;;;;;;1;water still cold in 0vember, temperature varies too much for both season, bouleversement;7,5;7-8 years;Less Fish, Rare Fish, ru0ffs from regular flooding contributes to lesse fish, due to icreased turbidity;1, more rain, more runoffs, less fish;1;;3,5;3-4 years;;3;1;0;;1;;2;;;;;;;;;;;;1;;1;1;Bad weather;14410;14410;;3.5;6;1;;1;2;8;1;10;2;Calamar;24;750;;Calamar;24;750;;Calamar;24;750;;Calamar;24;750;;Calamar;24;750;;Calamar;24;750;;Calamar;24;750;;Calamar;24;750;;Calamar;24;750;;Calamar;24;750;;Calamar;24;750;;Calamar;24;750;;Calamar;24;750;;Calamar;24;750;;Calamar;24;750;;Calamar;24;750;;Calamar;24;750;;Calamar;24;750;;Calamar;24;1500;;Calamar;24;1500;;Calamar;24;1500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18000;1;350;100;;;;;;;1;
2;52;East;1;0;0;0;Wooden Pirogue < 8 m;1;0;0;0;0;1;Outboard motor  power 9-25;0;2;3;0;0;2;3;1;0;18;18;;0;;21;;;;;;;;;;0;;200000;;30000;;;;;;4000;204000;;165-260k;Trou d'eau Douce;14140;3;November;4;;November-December;14419;14287;14288;;;;;;14553;14420;14422;;;;;;1;1;;Used to fish at other sites;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;Temperature varies a lot during both seasons;5;;Less Fish;Less Fish;2;;;;;;3;0;;0;;2;;;;;;;;;;;;2;;1;1;Bad weather;14684;14684;;8.5;10;1;;1;4;8;1;50;3;Corne;39;2000;;Corne;39;2000;;Corne;39;2000;;Corne;39;2000;;Corne;39;2500;;Corne;39;2500;;Corne;39;2500;;Corne;39;2500;;Corne;39;2500;;Corne;39;2500;;Corne;39;2500;;Corne;39;2500;;Corne;39;2500;;Corne;39;2500;;Corne;39;3000;;Corne;39;3000;;Corne;39;3000;;Corne;39;3000;;Corne;39;3000;;Corne;39;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51000;1;600;71;4;3;11;1.5;1.82;1,82;;
3;67;East;1;0;0;0;Wooden Pirogue < 8 m;1;0;0;0;0;1;Outboard motor  power 9-25;1;1;3;0;0;1;3;1;0;13;40;;0;;23;;;;;;;;;;2;;100000;;160000;;2000;;;;;262000;;>260k;Trou d'eau Douce;14140;3;November;4;;November-December;15093;14826;15095;;;;;;14548;14549;14551;;;;;;1;0;;;1;1;Algae>small Fish> Bigger fish;1;small fish attracted to FADs, Bigger fish to smaller fish;15077;15077;70;Thon jaune;104;22.5;25;;;;;;;;;0;Thon jaune;104;20;35;Dorade;43;7.5;8.5;;;;;Don't go in winter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;1;Colder in winter, hotter in summer;7;;Have to go deeper to find fish;Have to go deeper to find fish;1;;10;;1;;3;0;;0;;1;1;Tazar;98;;;;;;;;;2;;1;1;Bad weather;14551;14551;;8.25;11.8;1;;1;4;8;1;40;4;Carangue;27;3500;;Sourzin;94;1000;;Sourzin;94;1000;;Sourzin;94;1000;;Sourzin;94;1000;;Sourzin;94;1000;;Sourzin;94;1500;;Sourzin;94;1500;;Sourzin;94;1500;;Sourzin;94;1500;;Corne;39;1000;;Corne;39;2500;;Corne;39;2500;;Corne;39;2500;;Corne;39;2500;;Corne;39;2500;;Corne;39;3000;;Corne;39;3000;;Corne;39;3000;;Corne;39;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40000;1;1000;121;15;4;10;1;2.5;2,5;1;
4;64;East;0;1;0;0;Wooden Pirogue < 8 m;1;0;0;0;0;0;Outboard motor power <8;0;1;3;1;0;2;3;1;1;19;20;;1;;23;;;;;;;;;;2;;50000;;100000;;;;;;;150000;;75-165k;Trou d'eau Douce;14140;2;November;3;;November-December;14421;14288;14155;;;;;;13859;13992;13858;;;;;;1;0;;Not enough means to buy Equipment to fish there;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Colder in winter, hotter in summer;7,5;7-8 years;Have to go deeper to find fish;Have to go deeper to find fish;1;;5,5;5-6 years;1;;3;1;;0;;2;;Vielle Voleuse;120;;;;;;;;;1;;1;1;Bad weather;13724;13724;;15;6;1;;1;4;8;1;40;3;Capitaine;25;2000;;Capitaine;25;2000;;Capitaine;25;2000;;Capitaine;25;2000;;Capitaine;25;2000;;Capitaine;25;2500;;Capitaine;25;2500;;Capitaine;25;2500;;Capitaine;25;2500;;Capitaine;25;2500;;Capitaine;25;2500;;Capitaine;25;1500;;Capitaine;25;1500;;Capitaine;25;1500;;Sourzin;94;4000;;Sourzin;94;3500;;Sourzin;94;750;;Sourzin;94;750;;Sourzin;94;750;;Sourzin;94;750;;Corne;39;4000;;Corne;39;4000;;Corne;39;3500;;Corne;39;750;;Corne;39;750;;Corne;39;750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53750;1;1000;67;8;3;12;1.22;2.13;2,13;1;
5;62;East;1;1;1;0;Wooden Pirogue < 8 m;1;0;0;0;0;1;Outboard motor power <8;0;1;1;1;0;1;3;1;1;23;27;;1;;22;;;;;;;;;;;;75000;;10000;;;;;;;85000;;75-165k;Belle Mare;14000;2;October;18;;October-February;14000;14001;14136;14137;;;;;14135;14136;14134;;;;;;0;0;;Card registered from P.La fayette and not Trou d'eau douce;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;Colder in winter, hotter in summer;;>10;Hotel (Chlorine from piscine) and boating activities repel fish;Hotel (Chlorine from piscine) and boating activities repel fish;1;;15;;;;1;1;;0;;1;1;Cato;30;;;;;;;;;3;1;1;0;;14001;14001;;1.5;8;2;;1;4;4;1;8;0;Cato;30;250;;Cato;30;250;;Cato;30;250;;Cato;30;250;;Cato;30;250;;Cato;30;250;;Cato;30;250;;Cato;30;250;;Cato;30;250;;Cato;30;250;;Cato;30;500;;Cato;30;500;;Cato;30;500;;Cato;30;500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4000;1;200;133;1;0;12;1.52;1;1;1;
6;54;East;1;1;1;0;Wooden Pirogue < 8 m;1;0;0;0;0;1;Outboard motor  power 9-25;0;1;1;0;1;1;3;1;1;30;;NR;1;;23;;;;;;;;;;;;25000;;30000;;10000;;1000;;;66000;;<75k;Belle Mare;14000;2;November;20;;September-April;13865;14080;14136;;;;;;14132;14133;14134;;;;;;1;0;;Too far and need two motor;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;Colder in winter, hotter in summer;5,5;5-6 years;boating repels and prevents population growth of fish, some place fish do 0t come anymore;boating repels and prevents population growth of fish, some place fish do 0t come anymore;1;;5,5;5-6 years;1;;1;0;;1;;1;;;;;;;;;;;;1;;1;1;Bad weather, strong swells;13865;13865;;1.5;11.8;1;;1;5;4;1;28;0;Capitaine;25;4500;50;Capitaine;25;4500;50;Sourzin;94;125;;Sourzin;94;125;;Sourzin;94;125;;Sourzin;94;125;;Sourzin;94;125;;Sourzin;94;125;;Sourzin;94;125;;Sourzin;94;125;;Sourzin;94;125;;Sourzin;94;125;;Sourzin;94;125;;Sourzin;94;125;;Sourzin;94;125;;Sourzin;94;125;;Sourzin;94;125;;Sourzin;94;125;;Sourzin;94;125;;Sourzin;94;125;;Sourzin;94;125;;Sourzin;94;125;;Vielle Rouge;119;125;13;Vielle Rouge;119;125;13;Vielle Rouge;119;125;13;Vielle Rouge;119;125;13;Vielle Rouge;119;125;13;Vielle Rouge;119;125;13;Rouget;83;250;15;Rouget;83;250;17.8;Rouget;83;250;;Rouget;83;250;;Rouget;83;250;;Rouget;83;250;;Rouget;83;250;;Cato;30;500;30;Cato;30;500;30;Cato;30;500;30;Cato;30;500;30;Cato;30;500;30;Cato;30;500;30;Cato;30;375;20;Cato;30;375;20;Cato;30;375;20;Cato;30;375;20;Cato;30;375;20;Cato;30;375;20;Cato;30;375;20;Cato;30;375;20;Cato;30;375;20;Cato;30;375;20;20750;1;200;133;2;0;15;0.5;1;1;1;
7;60;East;1;0;0;0;Wooden Pirogue < 8 m;1;1;0;0;0;0;Outboard motor power <8;0;1;3;1;0;1;2;1;0;8;;NR;1;;19;;;;;;;;;;;;10000;;10000;;;;;;;20000;;<75k;Belle Mare;14000;1;October;30;December;;14268;;;;;;;;14401;;;;;;;;1;1;;Small boat;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;More bad weather;47;;Less Fish;Less Fish;1;;15;;0;;3;1;;0;;1;1;Corn;39;;;;;;;;;3;3;1;0;;14266;14266;;3;10;1;;1;5;8;1;50;0;Madame tomber;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;200;67;;;;;;;;1
8;45;East;1;0;0;0;Wooden Pirogue < 8 m;1;1;0;1;0;0;Outboard motor  power 9-25;1;1;3;1;0;1;2;1;1;20;45;;1;;22;;;;;;;;;;;;90000;;60000;;125000;;;;;275000;;>260k;Belle Mare;14001;3;October;31;;September-December;14267;;;;;;;;14267;;;;;;;;1;0;;;1;1;Learn how to fish Thon;1;We know it's dry, so we get a signal;15077;15077;90;Thon;99;90;;;;;;;;;;2;Dorade;43;10;;Thon;99;45;;Sacre chien;87;1;;Don't go in winter;;;;;;;;;;;;1;;15077;Dorade;43;Sacre chien;87;La gueule Sardine;128;;;1;0;1;;1;0;1;Dorade;43;;;;;;;1;more water;;;1;1;1;;2;;0;;3;1;;0;;1;1;Less cato;30;;;;;;;;;2;;1;1;Direct information;14001;14136;;1;9.5;1;;1;;8;1;7;0;Cato;30;4500;;Cato;30;4500;;Cato;30;4500;;Cato;30;4500;;Cato;30;4500;;Cato;30;4500;;Cato;30;4500;;Cato;30;4500;;Cato;30;4500;;Cato;30;4500;;Cato;30;4500;;Cato;30;4500;;Cato;30;4500;;Cato;30;4500;;Cato;30;4500;;Cato;30;4500;;Cato;30;4500;;Cato;30;4500;;Cato;30;4500;;Cato;30;4500;;Sourzin;94;1500;;Sourzin;94;1500;;Sourzin;94;1500;;Sourzin;94;1500;;Carpe;28;1500;;Carpe;28;1500;;Carpe;28;1500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100500;1;225;225;2;2;20;1.22;1;1;1;
9;37;East;0;1;0;0;Other;0;0;0;0;0;1;Outboard motor power <8;0;1;3;1;0;2;4;1;0;9;;NR;0;;35;Speedboat;;;;;;;;;;;150000;;100000;;4000;;;;;254000;;165-260k;Palmar, on sand;14272;1;October;3;;winter;14403;;;;;;;;14403;;;;;;;;1;0;;Small boat;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;0;1;;8;;1;;3;1;;0;;2;0;;;;;;;;;;;1;;1;1;;14402;14402;;5.25;9.75;1;;1;4;2.5;1;7;1;Carangue;27;1250;30;Carangue;27;1500;;Carangue;27;1500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4250;1;700;133;;;;;;;;
10;66;East;1;0;0;1;Wooden Pirogue < 8 m;1;1;0;0;0;1;Outboard motor power <8;0;1;1;;;2;3;1;0;15;50;;1;;20;;;;;;;;;;;;25000;;20000;;10000;;;;1200;56200;;<75k;Poste de Flacq;13596;2;October;20;December;;14136;14271;14272;;;;;;13591;13726;13727;;;;;;1;0;;FADs broken;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;Colder in winter, hotter in summer;5;;Have to go deeper, removal of seagrass, less fish;Usually less fish in winter;1;;;;;;1;;;;;2;0;;;;;;;;;;;3;0;1;1;Bad weather;13726;13726;;4.5;15.8;1;;1;4;4;1;6;0;Cato;30;500;18;Cato;30;500;18;Cato;30;1000;30;Cato;30;1000;30;Cato;30;1000;30;Cato;30;1000;30;Cato;30;1000;30;Cato;30;1000;30;Cato;30;1000;30;Cato;30;1000;30;Cato;30;1000;30;Cato;30;1000;30;Cato;30;1000;30;Cato;30;1000;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13000;1;100;22;1;0;20;;;;2;
