Response.No.;Fish.code;q82fsweight1;Common.name
1;24;750;Squid
1;24;750;Squid
1;24;750;Squid
1;24;750;Squid
1;24;750;Squid
1;24;750;Squid
1;24;750;Squid
1;24;750;Squid
1;24;750;Squid
1;24;750;Squid
1;24;750;Squid
1;24;750;Squid
1;24;750;Squid
1;24;750;Squid
1;24;750;Squid
1;24;750;Squid
1;24;1500;Squid
1;24;1500;Squid
1;24;1500;Squid
1;24;750;Squid
1;24;750;Squid
2;39;2000;Bluespine unicornfish
2;39;2000;Bluespine unicornfish
2;39;2500;Bluespine unicornfish
2;39;2500;Bluespine unicornfish
2;39;2500;Bluespine unicornfish
2;39;2500;Bluespine unicornfish
2;39;2500;Bluespine unicornfish
2;39;2500;Bluespine unicornfish
2;39;2500;Bluespine unicornfish
2;39;2500;Bluespine unicornfish
2;39;3000;Bluespine unicornfish
2;39;3000;Bluespine unicornfish
2;39;3000;Bluespine unicornfish
2;39;3000;Bluespine unicornfish
2;39;3000;Bluespine unicornfish
2;39;3000;Bluespine unicornfish
2;39;2000;Bluespine unicornfish
2;39;2000;Bluespine unicornfish
2;39;2500;Bluespine unicornfish
2;39;2500;Bluespine unicornfish
3;27;3500;Golden trevally
3;39;1000;Bluespine unicornfish
3;39;2500;Bluespine unicornfish
3;39;2500;Bluespine unicornfish
3;39;2500;Bluespine unicornfish
3;39;2500;Bluespine unicornfish
3;39;2500;Bluespine unicornfish
3;39;3000;Bluespine unicornfish
3;39;3000;Bluespine unicornfish
3;39;3000;Bluespine unicornfish
3;39;3000;Bluespine unicornfish
3;94;1000;Surgeonfish
3;94;1000;Surgeonfish
3;94;1000;Surgeonfish
3;94;1000;Surgeonfish
3;94;1000;Surgeonfish
3;94;1500;Surgeonfish
3;94;1500;Surgeonfish
3;94;1500;Surgeonfish
3;94;1500;Surgeonfish
4;25;2000;Spangled emperor
4;25;2000;Spangled emperor
4;25;2000;Spangled emperor
4;25;2500;Spangled emperor
4;25;2000;Spangled emperor
4;25;2000;Spangled emperor
4;25;2500;Spangled emperor
4;25;2500;Spangled emperor
4;25;2500;Spangled emperor
